| module                                                                           | #parameters or shape      | #flops        |
|        backbone.body.trunk2.fbnetv2_2_2.se.se.1.weight                           |        (96, 24, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_2.se.se.1.bias                             |        (96,)              |               |
|      backbone.body.trunk2.fbnetv2_2_2.se.avg_pool                                |                           |      99.84K   |
|     backbone.body.trunk2.fbnetv2_2_2.pwl                                         |     3.136K                |     3.261M    |
|      backbone.body.trunk2.fbnetv2_2_2.pwl.conv                                   |      3.072K               |      3.195M   |
|       backbone.body.trunk2.fbnetv2_2_2.pwl.conv.weight                           |       (32, 96, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_2.pwl.bn                                     |      64                   |      66.56K   |
|       backbone.body.trunk2.fbnetv2_2_2.pwl.bn.weight                             |       (32,)               |               |
|       backbone.body.trunk2.fbnetv2_2_2.pwl.bn.bias                               |       (32,)               |               |
|    backbone.body.trunk2.fbnetv2_2_3                                              |    11.992K                |    7.659M     |
|     backbone.body.trunk2.fbnetv2_2_3.pw                                          |     3.264K                |     3.395M    |
|      backbone.body.trunk2.fbnetv2_2_3.pw.conv                                    |      3.072K               |      3.195M   |
|       backbone.body.trunk2.fbnetv2_2_3.pw.conv.weight                            |       (96, 32, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_3.pw.bn                                      |      0.192K               |      0.2M     |
|       backbone.body.trunk2.fbnetv2_2_3.pw.bn.weight                              |       (96,)               |               |
|       backbone.body.trunk2.fbnetv2_2_3.pw.bn.bias                                |       (96,)               |               |
|     backbone.body.trunk2.fbnetv2_2_3.dw.conv                                     |     0.864K                |     0.899M    |
|      backbone.body.trunk2.fbnetv2_2_3.dw.conv.weight                             |      (96, 1, 3, 3)        |               |
|     backbone.body.trunk2.fbnetv2_2_3.se                                          |     4.728K                |     0.104M    |
|      backbone.body.trunk2.fbnetv2_2_3.se.se                                      |      4.728K               |      4.608K   |
|       backbone.body.trunk2.fbnetv2_2_3.se.se.0.conv                              |       2.328K              |       2.304K  |
|        backbone.body.trunk2.fbnetv2_2_3.se.se.0.conv.weight                      |        (24, 96, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_3.se.se.0.conv.bias                        |        (24,)              |               |
|       backbone.body.trunk2.fbnetv2_2_3.se.se.1                                   |       2.4K                |       2.304K  |
|        backbone.body.trunk2.fbnetv2_2_3.se.se.1.weight                           |        (96, 24, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_3.se.se.1.bias                             |        (96,)              |               |
|      backbone.body.trunk2.fbnetv2_2_3.se.avg_pool                                |                           |      99.84K   |
|     backbone.body.trunk2.fbnetv2_2_3.pwl                                         |     3.136K                |     3.261M    |
|      backbone.body.trunk2.fbnetv2_2_3.pwl.conv                                   |      3.072K               |      3.195M   |
|       backbone.body.trunk2.fbnetv2_2_3.pwl.conv.weight                           |       (32, 96, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_3.pwl.bn                                     |      64                   |      66.56K   |
|       backbone.body.trunk2.fbnetv2_2_3.pwl.bn.weight                             |       (32,)               |               |
|       backbone.body.trunk2.fbnetv2_2_3.pwl.bn.bias                               |       (32,)               |               |
|   backbone.body.trunk3                                                           |   0.902M                  |   0.153G      |
|    backbone.body.trunk3.fbnetv2_3_0                                              |    15.872K                |    7.521M     |
|     backbone.body.trunk3.fbnetv2_3_0.pw                                          |     4.352K                |     4.526M    |
|      backbone.body.trunk3.fbnetv2_3_0.pw.conv                                    |      4.096K               |      4.26M    |
|       backbone.body.trunk3.fbnetv2_3_0.pw.conv.weight                            |       (128, 32, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_0.pw.bn                                      |      0.256K               |      0.266M   |
|       backbone.body.trunk3.fbnetv2_3_0.pw.bn.weight                              |       (128,)              |               |
|       backbone.body.trunk3.fbnetv2_3_0.pw.bn.bias                                |       (128,)              |               |
|     backbone.body.trunk3.fbnetv2_3_0.dw.conv                                     |     3.2K                  |     0.832M    |
|      backbone.body.trunk3.fbnetv2_3_0.dw.conv.weight                             |      (128, 1, 5, 5)       |               |
|     backbone.body.trunk3.fbnetv2_3_0.pwl                                         |     8.32K                 |     2.163M    |
|      backbone.body.trunk3.fbnetv2_3_0.pwl.conv                                   |      8.192K               |      2.13M    |
|       backbone.body.trunk3.fbnetv2_3_0.pwl.conv.weight                           |       (64, 128, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_0.pwl.bn                                     |      0.128K               |      33.28K   |
|       backbone.body.trunk3.fbnetv2_3_0.pwl.bn.weight                             |       (64,)               |               |
|       backbone.body.trunk3.fbnetv2_3_0.pwl.bn.bias                               |       (64,)               |               |
|    backbone.body.trunk3.fbnetv2_3_1                                              |    26.816K                |    6.972M     |
|     backbone.body.trunk3.fbnetv2_3_1.pw                                          |     12.672K               |     3.295M    |
|      backbone.body.trunk3.fbnetv2_3_1.pw.conv                                    |      12.288K              |      3.195M   |
